sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
324,0.054,0.006,0.006,0.084,0.006,0.0,0.0
325,0.054,0.012,0.006,0.108,0.0,0.0,0.0
326,0.042,0.012,0.006,0.078,0.006,0.0,0.0
327,0.042,0.012,0.006,0.072,0.006,0.0,0.0
328,0.036,0.012,0.006,0.078,0.0,0.0,0.0
329,0.036,0.006,0.006,0.114,0.0,0.0,0.0
330,0.042,0.012,0.006,0.084,0.006,0.0,0.0
331,0.042,0.012,0.006,0.084,0.006,0.0,0.0
332,0.042,0.006,0.006,0.078,0.0,0.0,0.0
333,0.042,0.012,0.006,0.09,0.006,0.0,0.0
334,0.048,0.012,0.006,0.114,0.0,0.0,0.0
335,0.042,0.012,0.006,0.102,0.006,0.0,0.0
336,0.036,0.006,0.006,0.078,0.006,0.0,0.0
337,0.042,0.006,0.006,0.108,0.006,0.0,0.0
338,0.042,0.006,0.006,0.078,0.0,0.0,0.0
339,0.036,0.006,0.006,0.078,0.006,0.0,0.0
340,0.036,0.012,0.006,0.114,0.006,0.0,0.0
341,0.042,0.006,0.006,0.102,0.006,0.0,0.0
342,0.042,0.012,0.006,0.084,0.006,0.0,0.0
343,0.042,0.012,0.006,0.114,0.006,0.0,0.0
344,0.036,0.012,0.006,0.108,0.006,0.0,0.0
